country,year,control_of_corruption,current_account_balance_pct_gdp,export_concentration_hhi,export_growth,external_debt_pct_gni,fdi_net_inflows_pct_gdp,gdp_growth,gdp_per_capita,gdp_per_capita_growth,global_gold_price,global_high_yield_spread,global_oil_price,global_usd_index,government_debt_pct,gross_capital_formation_pct_gdp,inflation_cpi,natural_resource_rents_pct_gdp,political_stability,regulatory_quality,rule_of_law,secondary_school_enrolment,vulnerable_employment,youth_unemployment
CRI,2010,0.6993258,-3.224,0.354,9.32745251051404,,5.06371170213526,5.36034352634111,8265.78820275582,4.06134325895124,119.99545832174232,,79.48,93.0541,28.09,19.8339185211217,5.824,1.62716715850808,0.7938234,64.7255617,0.6499221,97.5067367553711,23.8317143711872,17.378
CRI,2011,0.6579069,-5.297,0.422,7.04810415046052,,6.39172539644787,4.40315923970431,9276.39107511347,3.18309278796906,153.18591263180687,,94.88,88.7767,29.513,20.0481795975156,4.736,1.26384990129987,0.6316858,63.8704353,0.4626021,99.7109375,23.6826340732098,22.037
CRI,2012,0.670503,-5.105,0.453,5.56427246623608,,5.70866124854743,4.88259241025739,10126.9991024177,3.66596860469166,161.96787185362544,,94.05,91.6361,33.741,19.8541955079701,4.551,1.2425772572914,0.655542,65.6806112,0.4471085,103.267303466797,24.9781285769893,22.372
CRI,2013,0.6633217,-4.772,0.462,3.31153349664059,,6.29127735209415,2.49476611209954,10803.2401962173,1.36003489549176,136.24820703149317,,97.98,92.7611,35.076,19.5904601620008,3.68,1.34122901696494,0.6591343,66.4658166,0.4576895,108.534126281738,27.2362890193681,21.559
CRI,2014,0.7809898,-4.716,0.431,4.96433604998592,,6.23293662208767,3.54210987765977,10911.497878334,2.43499498820891,121.88517901052042,,93.17,95.5876,37.436,19.2231532892007,5.127,1.387670718648,0.6803966,63.1397123,0.5463937,114.289863586426,26.6272496600503,24.23
CRI,2015,0.7699694,-3.404,0.224,2.8883119426128,,5.23639457671538,3.65208096802883,11714.7105980732,2.55664330007954,111.18462156014614,,48.66,108.1696,39.786,18.8537264424501,-0.808,1.13397448273593,0.7458992,64.5883882,0.5212516,115.72087097168,26.5333002960316,22.363
CRI,2016,0.8034365,-2.137,0.254,9.41727189785615,,4.45296211770326,4.20432325175899,12091.0301606154,3.1560705780562,119.36261924864752,,43.29,113.0665,44.056,18.888940977993,0.765,1.23322083330008,0.7331119,65.1912997,0.5143501,118.203712463379,24.8440335030415,21.65
CRI,2017,0.5853521,-3.617,0.26,6.95492448923945,,4.83327522078441,4.1576989627609,12317.0902771304,3.17871970343413,119.70533874025382,,50.8,112.8101,47.064,18.0648742424157,2.574,1.13383955527767,0.7405908,63.470592,0.54111,121.514961242676,24.492541574141,20.736
CRI,2018,0.6496945,-2.991,0.265,4.89096079589457,,4.829438721344,2.6159044043379,12590.2493781614,1.69193410358987,120.1730401916504,,65.23,112.0038,51.839,18.3698605660091,2.027,0.945537295658598,0.6346654,65.1359862,0.518591,125.964347839355,24.6291977643677,25.071
CRI,2019,0.7249661,-1.19,0.276,4.26147004697248,,4.22094016659811,2.41751181762513,12884.6859951989,1.56255641347028,131.4715934540646,,56.99,115.7333,56.431,16.0640851994464,1.522,0.759689840900586,0.6261254,65.4136941,0.5808637,132.849334716797,25.2783664801008,31.194
CRI,2020,0.756375,-1.045,0.279,-10.6328563243,,3.37043523313038,-4.27335432161462,12394.0493969492,-4.93444227198336,166.60730119735476,,39.16,117.774,66.912,16.1630546690345,0.892,0.904748239780319,0.9250217,63.3658161,0.6316985,132.678680419922,25.7975182166931,40.11
CRI,2021,0.590956,-3.176,0.27,15.9339216534969,,5.53072986406838,7.93576224743147,12838.1185358931,7.38823226408623,168.30067705253205,,68.14,113.1051,67.628,18.5817848852788,3.299,0.763407374189705,1.0171458,63.7041888,0.6104539,138.903381347656,25.4165880205252,39.201
CRI,2022,0.5669805,-3.282,0.26,18.5008764976854,,5.4175310653788,4.55149177958398,13625.9008491328,4.10345495842361,167.90513914799786,,94.9,120.698,62.985,17.6973336496207,7.877,,1.1460641,64.2055654,0.6675589,131.907592773438,24.8774870081078,30.718
CRI,2023,0.6775627,-1.432,0.27,9.95931393443786,,5.4191807109794,5.11192183224598,16942.0268119375,4.6227538695518,180.44987982177733,4.087062146892655,77.58,120.2663,61.119,15.2565937229937,-1.765,,1.1842629,63.9239446,0.6431263,125.510070800781,23.7673101793058,24.308
CRI,2024,0.6792372,-1.354,0.279,5.77004478846948,,5.55680052586902,4.32122429646145,18587.1532203482,3.82533390959907,221.0156972208821,3.15,76.63,122.893,59.753,15.669024509728,0.842,,1.1756544,64.0390444,0.6167412,121.810760498047,23.5985805149926,20.481
CYP,2010,1.1061312,-10.622,0.183,6.32855806171177,,125.272737889577,2.28267100119788,31105.02734375,-0.357614019094044,119.99545832174232,,79.48,93.0541,55.34,23.6867268786643,2.135,0.0445722498723438,0.7665588,77.6343749,1.1894709,91.440803527832,13.8284223657228,15.852
CYP,2011,1.0124344,-2.205,0.202,7.01563560479737,,151.736934875441,0.416711868408683,32485.798828125,-2.1129375771815,153.18591263180687,,94.88,88.7767,64.806,18.5481211774998,4.379,0.0717517642796192,0.7840771,74.0268375,0.9579583,92.8256225585938,13.4184575450116,21.156
CYP,2012,1.0052242,-3.741,0.179,-0.574726463212087,,289.858110901793,-3.44738151374587,28991.935546875,-4.90738549673117,161.96787185362544,,94.05,91.6361,79.152,15.8177899862593,1.604,0.072728856527206,0.7933209,71.2165864,0.9610401,95.2998504638672,12.4992706479563,27.244
CYP,2013,0.9856079,-1.514,0.184,1.12237575718932,,108.090316098148,-6.58747751118347,27764.73046875,-6.48031760121023,136.24820703149317,,97.98,92.7611,102.652,12.5650583420074,-1.138,0.0449091633428491,0.7163623,67.7996482,0.8635981,97.9726409912109,13.51956104273,38.083
CYP,2014,0.7530793,-4.001,0.395,6.29210083363682,,233.165753265091,-1.77605867728616,26993.103515625,-1.48883694697456,121.88517901052042,,93.17,95.5876,112.991,13.1877395604674,-0.883,0.0348718589179378,0.7031147,70.4394307,0.8227872,97.8358383178711,14.1834031373325,35.516
CYP,2015,0.6824205,-0.269,0.413,8.92432117955913,,137.220682764776,3.41892038889013,23088.44140625,3.19512275980128,111.18462156014614,,48.66,108.1696,111.554,13.3226795380088,-0.49,0.0198578971713362,0.6831374,70.5314254,0.835657,98.9578094482422,12.6110111615334,32.539
CYP,2016,0.7247771,-3.951,0.361,7.22008042247228,,15.8272269765313,6.57359080924678,24280.056640625,6.01835711404337,119.36261924864752,,43.29,113.0665,106.809,17.0541463112928,0.101,0.001471313805814,0.7672285,70.3276161,0.834571,98.830940246582,12.4756636055831,28.902
CYP,2017,0.8179827,-5.016,0.298,10.9822876991655,,184.054282581805,5.75083236554525,26247.44921875,4.85340888107815,119.70533874025382,,50.8,112.8101,96.375,20.3824581997576,-0.392,0.0053914863858221,0.6738103,70.1533498,0.9252619,99.5133590698242,11.0948430668008,25.013
CYP,2018,0.6608595,-3.881,0.37,7.21997689183395,,307.086731038445,6.27166360056404,29120.375,5.05105337795295,120.1730401916504,,65.23,112.0038,100.657,18.9431273490169,1.009,0.0046923120191054,0.6561041,69.7424712,0.8521444,99.4265899658203,11.1081555567378,20.654
CYP,2019,0.6807343,-5.513,0.345,8.72475874388408,,431.788470101997,5.87559583386607,29227.173828125,4.46826562163456,131.4715934540646,,56.99,115.7333,92.293,19.4907459360244,0.719,0.003613251767119,0.7399069,71.2579706,0.8580537,101.017471313477,11.712463383962,16.856
CYP,2020,0.4663521,-9.698,0.34,1.63608632812058,,-296.013199232631,-3.22063018637567,28130.341796875,-4.51403585865228,166.60730119735476,,39.16,117.774,113.602,20.6447561187859,-0.823,0.0079310862289615,0.4538116,69.0242564,0.7472668,101.935836791992,11.9814251748547,18.491
CYP,2021,0.4905518,-5.368,0.349,27.1557424769415,,21.8171172987561,11.3975590801512,32937.83984375,9.74651161533515,168.30067705253205,,68.14,113.1051,96.48,19.6456822415145,4.819,0.0127645649104764,0.4791734,68.244642,0.7712279,102.047653198242,9.90363120896757,17.173
CYP,2022,0.5652889,-5.385,0.358,27.4878056711404,,0.172623612662826,8.27372597293814,33231.04296875,6.27933971497492,167.90513914799786,,94.9,120.698,80.954,20.5950576006752,7.583,,0.3811357,66.425314,0.7642266,103.827629089355,9.17234429114858,18.707
CYP,2023,0.4826822,-9.465,0.414,-1.62855926698656,,-63.1546692723109,3.61945644636856,36623.69140625,1.63941638797075,180.44987982177733,4.087062146892655,77.58,120.2663,73.631,21.4725198606437,1.959,,0.3935929,67.0424339,0.7591158,105.159156799316,8.89235893368108,16.22
CYP,2024,0.5324784,-6.83,0.39,6.07971244039425,,-133.824278977736,3.94077381708404,38674.29296875,2.29692759392108,221.0156972208821,3.15,76.63,122.893,65.385,20.6775296375465,3.157,,0.3858613,66.527046,0.6891912,106.741279602051,8.06977947828762,12.857
CZE,2010,0.3937065,-3.515,0.105,14.6575067880563,,4.81502985527419,2.71466509907701,20160.4355077059,2.41582948883936,119.99545832174232,,79.48,93.0541,36.7,26.7312876523202,2.298,0.965734444102689,1.0992694,72.2537245,0.7330604,98.6544189453125,14.0797235420596,18.356
CZE,2011,0.4745101,-2.071,0.106,9.16251804304125,,1.80994155301699,1.77238085338473,22049.1080788682,1.56218619113156,153.18591263180687,,94.88,88.7767,39.402,26.6053370220652,2.353,1.07008711032612,1.1297603,71.0490592,0.8440617,99.4467315673828,14.439152640993,18.077
CZE,2012,0.4104378,-1.537,0.107,4.28116143497319,,4.48424380759869,-0.770668190622743,20014.0354015165,-0.909418387644408,161.96787185362544,,94.05,91.6361,43.835,25.6688421143623,2.403,0.640579925432997,1.1228486,69.4632255,0.8309207,99.7749633789062,15.0290537676357,19.508
CZE,2013,0.3827776,-0.522,0.106,0.25860507770507,,3.45386726376292,-0.0418124160447491,20260.4954999375,-0.0749629946207335,136.24820703149317,,97.98,92.7611,44.141,24.3768606031502,1.429,0.382852117100547,1.1188359,69.8125373,0.8587857,106.875068664551,14.1893047184708,18.958
CZE,2014,0.5091331,0.18,0.113,8.72634203120278,,3.83510153423089,2.24521219862635,20038.4163180257,2.13762755318902,121.88517901052042,,93.17,95.5876,41.546,25.3494353917128,0.101,0.345428962074698,1.1241036,67.6778439,0.9570647,106.118507385254,14.5358283738005,15.841
CZE,2015,0.5929256,0.446,0.118,5.91173316859567,,0.898913491904098,4.95875848915604,17931.5987670768,4.75262406436026,111.18462156014614,,48.66,108.1696,39.469,26.9686249210792,0.0,0.314061907144002,1.100576,70.4541455,1.0475127,104.810516357422,13.814761325026,12.582
