country,country_name,year,rao_score,base_rao_score,regime,regime_label,tos_score,tos_signal_label,sis_score,dgi_score,rvs_score,pillar_a,pillar_b,pillar_c,pillar_d,cvar25,volatility_band,event_adjustment,anomaly_flag,anomaly_haircut_applied,archetype,data_confidence,imputed_vars,gdelt_active,rao_score_pre_overlay,overlay_adjustment,trajectory_classification,trajectory_discount,trajectory_reason,universe_flag,universe_flag_severity,universe_flag_description,requires_disclosure,market_size_bonus
ISR,ISR,2024,5.789,7.473,FO,Fragile Opportunity,0.148,Low Takeoff Signal,0.25,0.315,0.033,0.457,0.54,0.7,0.38,0.719,0.08,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,4.917,0.872,structural,1.0,"Trajectory supported by governance data (RVS=0.033, Pillar B=0.540)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.872
ARG,Argentina,2024,5.782,5.138,SL,Stable / Low Opportunity,0.524,Reform Story,0.45,0.42,0.808,0.448,0.496,0.462,0.38,0.46,0.104,0.0,True,True,Diversified Emerging Market,HIGH,,False,4.867,0.915,structural,1.0,"Trajectory supported by governance data (RVS=0.808, Pillar B=0.496)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.915
MEX,Mexico,2024,5.719,6.609,FO,Fragile Opportunity,0.215,Low Takeoff Signal,0.2,0.442,0.102,0.508,0.422,0.578,0.38,0.623,0.047,0.0,True,True,High-Growth Emerging Market,HIGH,,False,4.641,1.078,structural,1.0,"Trajectory supported by governance data (RVS=0.102, Pillar B=0.422)  classified as structural",clean,N/A,No universe integrity issues detected.,False,1.078
CHL,CHL,2024,5.546,6.036,SR,Structural Risk,0.339,Low Takeoff Signal,0.2,0.441,0.46,0.538,0.653,0.411,0.38,0.559,0.155,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,4.74,0.806,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.653) and flat trajectory (Pillar D=0.380)  classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,0.806
PER,Peru,2024,5.502,5.717,SL,Stable / Low Opportunity,0.385,Low Takeoff Signal,0.2,0.492,0.622,0.51,0.518,0.433,0.455,0.524,0.11,0.0,True,True,High-Growth Emerging Market,HIGH,,False,4.716,0.786,structural,1.0,"Trajectory supported by governance data (RVS=0.622, Pillar B=0.518)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.786
JAM,JAM,2024,5.481,6.211,FO,Fragile Opportunity,0.403,Moderate Potential,0.2,0.509,0.698,0.404,0.539,0.571,0.538,0.579,0.12,0.0,True,True,Diversified Emerging Market,MEDIUM,export_growth; gross_capital_formation,False,5.079,0.402,structural,1.0,"Trajectory supported by governance data (RVS=0.698, Pillar B=0.539)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.402
HUN,HUN,2024,5.479,6.66,FO,Fragile Opportunity,0.229,Low Takeoff Signal,0.2,0.517,0.104,0.418,0.565,0.644,0.38,0.629,0.106,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,4.721,0.758,stable,1.0,"Advanced Economy with strong governance (Pillar B=0.565) and flat trajectory (Pillar D=0.380)  classified as stable rather than noise. Flat trajectories on excellent fundamentals reflect maintenance of quality, not decline. No discount applied.",clean,N/A,No universe integrity issues detected.,False,0.758
KGZ,KGZ,2024,5.471,7.162,RO,Robust Opportunity,0.256,Low Takeoff Signal,0.2,0.72,0.102,0.683,0.34,0.499,0.62,0.685,0.076,0.0,True,True,High-Growth Emerging Market,HIGH,,False,5.118,0.353,structural,1.0,"Trajectory supported by governance data (RVS=0.102, Pillar B=0.340)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.353
NAM,NAM,2024,5.468,5.213,SR,Structural Risk,0.599,Pre-Breakout Signal,0.45,0.563,0.897,0.521,0.506,0.352,0.618,0.468,0.142,0.0,True,True,Diversified Emerging Market,HIGH,external_debt_pct_gni,False,5.182,0.286,structural,1.0,"Trajectory supported by governance data (RVS=0.897, Pillar B=0.506)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.286
BIH,BIH,2024,5.455,6.178,RO,Robust Opportunity,0.39,Low Takeoff Signal,0.2,0.504,0.63,0.509,0.491,0.48,0.492,0.575,0.097,0.0,True,True,Diversified Emerging Market,HIGH,,False,5.01,0.445,structural,1.0,"Trajectory supported by governance data (RVS=0.630, Pillar B=0.491)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.445
BLZ,BLZ,2024,5.387,6.338,FO,Fragile Opportunity,0.443,Moderate Potential,0.2,0.526,0.918,0.457,0.558,0.513,0.519,0.593,0.123,0.0,True,True,Diversified Emerging Market,HIGH,,False,5.298,0.089,structural,1.0,"Trajectory supported by governance data (RVS=0.918, Pillar B=0.558)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.089
UZB,Uzbekistan,2024,5.38,5.296,SL,Stable / Low Opportunity,0.46,Moderate Potential,0.2,0.584,0.918,0.619,0.467,0.335,0.502,0.477,0.108,0.0,True,True,High-Growth Emerging Market,HIGH,,False,4.733,0.647,structural,1.0,"Trajectory supported by governance data (RVS=0.918, Pillar B=0.467)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.647
NPL,NPL,2024,5.343,5.038,SR,Structural Risk,0.534,Moderate Potential,0.35,0.538,0.866,0.582,0.55,0.318,0.426,0.449,0.133,0.0,True,True,High-Growth Emerging Market,HIGH,,False,4.845,0.498,structural,1.0,"Trajectory supported by governance data (RVS=0.866, Pillar B=0.550)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.498
TZA,Tanzania,2024,5.341,4.833,SR,Structural Risk,0.544,Moderate Potential,0.35,0.589,0.831,0.562,0.485,0.309,0.579,0.426,0.135,0.0,True,True,Diversified Emerging Market,HIGH,,False,4.759,0.582,structural,1.0,"Trajectory supported by governance data (RVS=0.831, Pillar B=0.485)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.582
GMB,GMB,2024,5.286,6.511,RO,Robust Opportunity,0.399,Low Takeoff Signal,0.2,0.545,0.622,0.701,0.435,0.397,0.449,0.612,0.064,0.0,True,True,Diversified Emerging Market,HIGH,,False,5.244,0.042,structural,1.0,"Trajectory supported by governance data (RVS=0.622, Pillar B=0.435)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.042
GRC,GRC,2024,5.259,6.13,SL,Stable / Low Opportunity,0.264,Low Takeoff Signal,0.2,0.451,0.195,0.462,0.421,0.584,0.381,0.57,0.056,0.0,True,True,Diversified Emerging Market,HIGH,external_debt_pct_gni,False,4.527,0.732,structural,1.0,"Trajectory supported by governance data (RVS=0.195, Pillar B=0.421)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.732
KAZ,Kazakhstan,2024,5.252,5.022,SR,Structural Risk,0.433,Moderate Potential,0.2,0.57,0.774,0.567,0.537,0.316,0.493,0.447,0.136,0.0,True,True,High-Growth Emerging Market,HIGH,,False,4.472,0.78,structural,1.0,"Trajectory supported by governance data (RVS=0.774, Pillar B=0.537)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.78
ROU,ROU,2024,5.224,5.819,SL,Stable / Low Opportunity,0.277,Low Takeoff Signal,0.2,0.379,0.282,0.423,0.526,0.553,0.38,0.535,0.103,0.0,True,True,Diversified Emerging Market,HIGH,external_debt_pct_gni,False,4.39,0.834,structural,1.0,"Trajectory supported by governance data (RVS=0.282, Pillar B=0.526)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.834
CIV,Cte d'Ivoire,2024,5.169,5.245,SL,Stable / Low Opportunity,0.428,Moderate Potential,0.2,0.546,0.785,0.495,0.428,0.426,0.543,0.472,0.101,0.0,True,True,Diversified Emerging Market,HIGH,,False,4.589,0.58,structural,1.0,"Trajectory supported by governance data (RVS=0.785, Pillar B=0.428)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.58
SLV,SLV,2024,5.14,5.692,SL,Stable / Low Opportunity,0.38,Low Takeoff Signal,0.2,0.443,0.671,0.397,0.404,0.614,0.472,0.521,0.073,0.0,True,True,Diversified Emerging Market,HIGH,,False,4.682,0.458,structural,1.0,"Trajectory supported by governance data (RVS=0.671, Pillar B=0.404)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.458
GTM,Guatemala,2024,5.113,5.378,SR,Structural Risk,0.376,Low Takeoff Signal,0.2,0.431,0.668,0.342,0.533,0.577,0.492,0.486,0.128,0.0,True,True,High-Growth Emerging Market,HIGH,,False,4.479,0.634,structural,1.0,"Trajectory supported by governance data (RVS=0.668, Pillar B=0.533)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.634
OMN,OMN,2024,5.109,4.894,SR,Structural Risk,0.461,Moderate Potential,0.2,0.589,0.918,0.539,0.684,0.236,0.615,0.433,0.212,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,4.496,0.613,structural,1.0,"Trajectory supported by governance data (RVS=0.918, Pillar B=0.684)  classified as structural",archetype_mismatch,MEDIUM,'Advanced Economy' archetype with very low absorptive capacity (Pillar C=0.236). Likely a commodity-dependent state. Investment depth is significantly lower than archetype implies.,True,0.613
BEN,BEN,2024,5.033,5.444,SL,Stable / Low Opportunity,0.415,Moderate Potential,0.2,0.574,0.666,0.548,0.438,0.397,0.544,0.494,0.102,0.0,True,True,Diversified Emerging Market,HIGH,,False,4.66,0.373,structural,1.0,"Trajectory supported by governance data (RVS=0.666, Pillar B=0.438)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.373
KEN,Kenya,2024,5.024,4.416,SL,Stable / Low Opportunity,0.506,Moderate Potential,0.35,0.491,0.808,0.441,0.397,0.414,0.487,0.38,0.097,0.0,True,True,Diversified Emerging Market,HIGH,,False,4.372,0.652,structural,1.0,"Trajectory supported by governance data (RVS=0.808, Pillar B=0.397)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.652
MDA,MDA,2024,4.992,5.33,SL,Stable / Low Opportunity,0.422,Moderate Potential,0.2,0.457,0.918,0.423,0.456,0.513,0.44,0.481,0.092,0.0,True,True,Diversified Emerging Market,HIGH,,False,4.616,0.376,structural,1.0,"Trajectory supported by governance data (RVS=0.918, Pillar B=0.456)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.376
BGD,Bangladesh,2024,4.912,4.313,SL,Stable / Low Opportunity,0.436,Reform Story,0.35,0.378,0.664,0.447,0.425,0.406,0.38,0.368,0.091,0.0,True,True,Diversified Emerging Market,HIGH,,False,4.056,0.856,structural,1.0,"Trajectory supported by governance data (RVS=0.664, Pillar B=0.425)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.856
PRY,PRY,2024,4.874,6.124,SL,Stable / Low Opportunity,0.221,Low Takeoff Signal,0.2,0.467,0.104,0.45,0.436,0.579,0.434,0.569,0.069,0.0,True,True,Diversified Emerging Market,HIGH,,False,4.371,0.503,structural,1.0,"Trajectory supported by governance data (RVS=0.104, Pillar B=0.436)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.503
TTO,TTO,2024,4.87,6.345,FO,Fragile Opportunity,0.206,Low Takeoff Signal,0.45,0.451,0.033,0.442,0.576,0.567,0.38,0.594,0.116,0.0,True,True,High-Growth Emerging Market,MEDIUM,export_growth; external_debt_pct_gni,False,4.45,0.42,structural,1.0,"Trajectory supported by governance data (RVS=0.033, Pillar B=0.576)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.42
JOR,JOR,2024,4.849,4.888,SL,Stable / Low Opportunity,0.429,Moderate Potential,0.2,0.535,0.805,0.504,0.429,0.386,0.526,0.432,0.106,0.0,True,True,Diversified Emerging Market,HIGH,export_growth,False,4.376,0.473,structural,1.0,"Trajectory supported by governance data (RVS=0.805, Pillar B=0.429)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.473
GUY,GUY,2024,4.767,4.734,SR,Structural Risk,0.451,Moderate Potential,0.25,0.496,0.8,0.736,0.668,0.18,0.53,0.415,0.198,0.0,True,True,High-Growth Emerging Market,MEDIUM,export_growth; gross_capital_formation,False,4.362,0.405,structural,1.0,"Trajectory supported by governance data (RVS=0.800, Pillar B=0.668)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.405
SEN,Senegal,2024,4.742,5.563,SL,Stable / Low Opportunity,0.295,Low Takeoff Signal,0.2,0.451,0.284,0.574,0.336,0.458,0.38,0.507,0.035,0.0,True,True,Diversified Emerging Market,HIGH,,False,4.3,0.442,structural,1.0,"Trajectory supported by governance data (RVS=0.284, Pillar B=0.336)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.442
KWT,KWT,2024,4.693,4.08,SR,Structural Risk,0.462,Moderate Potential,0.25,0.497,0.867,0.367,0.743,0.218,0.56,0.342,0.244,0.0,True,True,Advanced Economy,HIGH,external_debt_pct_gni,False,4.01,0.683,structural,1.0,"Trajectory supported by governance data (RVS=0.867, Pillar B=0.743)  classified as structural",archetype_mismatch,MEDIUM,'Advanced Economy' archetype with very low absorptive capacity (Pillar C=0.218). Likely a commodity-dependent state. Investment depth is significantly lower than archetype implies.,True,0.683
DZA,DZA,2024,4.682,3.952,SR,Structural Risk,0.455,Moderate Potential,0.2,0.63,0.809,0.625,0.496,0.205,0.557,0.328,0.154,0.0,True,True,High-Growth Emerging Market,HIGH,,False,3.908,0.774,structural,1.0,"Trajectory supported by governance data (RVS=0.809, Pillar B=0.496)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.774
HND,Honduras,2024,4.678,4.953,SL,Stable / Low Opportunity,0.373,Low Takeoff Signal,0.2,0.505,0.542,0.378,0.403,0.529,0.586,0.439,0.105,0.0,True,True,Diversified Emerging Market,HIGH,,False,4.216,0.462,structural,1.0,"Trajectory supported by governance data (RVS=0.542, Pillar B=0.403)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.462
LAO,LAO,2024,4.643,4.166,SL,Stable / Low Opportunity,0.531,Moderate Potential,0.45,0.472,0.738,0.504,0.402,0.341,0.449,0.352,0.098,0.0,True,True,Diversified Emerging Market,HIGH,,False,4.311,0.332,structural,1.0,"Trajectory supported by governance data (RVS=0.738, Pillar B=0.402)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.332
GHA,Ghana,2024,4.634,4.397,SR,Structural Risk,0.419,Moderate Potential,0.35,0.38,0.581,0.412,0.553,0.386,0.38,0.377,0.14,0.0,True,True,High-Growth Emerging Market,HIGH,,False,4.048,0.586,structural,1.0,"Trajectory supported by governance data (RVS=0.581, Pillar B=0.553)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.586
COL,Colombia,2024,4.609,4.736,SL,Stable / Low Opportunity,0.285,Low Takeoff Signal,0.2,0.392,0.296,0.441,0.436,0.454,0.38,0.415,0.088,0.0,True,True,Diversified Emerging Market,HIGH,,False,3.766,0.843,structural,1.0,"Trajectory supported by governance data (RVS=0.296, Pillar B=0.436)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.843
UKR,Ukraine,2024,4.488,4.528,SL,Stable / Low Opportunity,0.308,Low Takeoff Signal,0.545,0.373,0.127,0.443,0.303,0.498,0.38,0.392,0.043,0.0,True,True,Diversified Emerging Market,HIGH,,False,3.727,0.761,structural,1.0,"Trajectory supported by governance data (RVS=0.127, Pillar B=0.303)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.761
LSO,LSO,2024,4.42,4.442,SR,Structural Risk,0.51,Moderate Potential,0.45,0.49,0.619,0.388,0.485,0.419,0.488,0.382,0.127,0.0,True,True,Diversified Emerging Market,HIGH,,False,4.402,0.018,structural,1.0,"Trajectory supported by governance data (RVS=0.619, Pillar B=0.485)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.018
UGA,UGA,2024,4.417,4.383,SL,Stable / Low Opportunity,0.379,Low Takeoff Signal,0.2,0.559,0.508,0.524,0.374,0.346,0.557,0.376,0.103,0.0,True,True,Diversified Emerging Market,HIGH,secondary_school_enrolment,False,3.895,0.522,structural,1.0,"Trajectory supported by governance data (RVS=0.508, Pillar B=0.374)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.522
SUR,SUR,2024,4.413,3.909,SR,Structural Risk,0.564,Pre-Breakout Signal,0.45,0.621,0.658,0.401,0.423,0.338,0.66,0.323,0.148,0.0,True,True,Diversified Emerging Market,MEDIUM,export_growth; gross_capital_formation,False,4.277,0.136,structural,1.0,"Trajectory supported by governance data (RVS=0.658, Pillar B=0.423)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.136
UVK,UVK,2024,4.389,5.394,SL,Stable / Low Opportunity,0.489,Moderate Potential,0.45,0.523,0.5,0.49,0.445,0.428,0.589,0.488,0.113,0.0,True,True,Diversified Emerging Market,LOW,gdp_growth; export_growth; net_fdi_pct_gdp; gross_capital_formation; secondary_school_enrolment; external_debt_pct_gni; political_stability; rule_of_law; control_of_corruption; natural_resource_rents_pct_gdp; gdp_per_capita_growth; youth_unemployment; vulnerable_employment; regulatory_quality,False,4.899,-0.51,noise,0.75,Data confidence LOW  trajectory signal unreliable,data_poverty,HIGH,Data confidence LOW  score based on significant imputation. Treat as indicative only; do not distribute without supplementary research.,True,0.255
BWA,BWA,2024,4.388,4.093,SR,Structural Risk,0.461,Moderate Potential,0.35,0.479,0.609,0.433,0.703,0.232,0.47,0.344,0.217,0.0,True,True,Diversified Emerging Market,HIGH,,False,4.016,0.372,structural,1.0,"Trajectory supported by governance data (RVS=0.609, Pillar B=0.703)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.372
EGY,Egypt,2024,4.358,3.866,SL,Stable / Low Opportunity,0.366,Low Takeoff Signal,0.2,0.352,0.775,0.374,0.337,0.474,0.38,0.318,0.068,0.0,True,True,Diversified Emerging Market,HIGH,,False,3.537,0.821,structural,1.0,"Trajectory supported by governance data (RVS=0.775, Pillar B=0.337)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.821
MNG,Mongolia,2024,4.282,3.926,SR,Structural Risk,0.457,Moderate Potential,0.2,0.62,0.841,0.655,0.437,0.212,0.582,0.325,0.139,0.0,True,True,Diversified Emerging Market,HIGH,,False,3.902,0.38,structural,1.0,"Trajectory supported by governance data (RVS=0.841, Pillar B=0.437)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.38
AZE,AZE,2024,4.275,3.694,SR,Structural Risk,0.439,Moderate Potential,0.2,0.512,0.918,0.451,0.604,0.213,0.495,0.299,0.189,0.0,True,True,High-Growth Emerging Market,HIGH,export_growth,False,3.697,0.578,structural,1.0,"Trajectory supported by governance data (RVS=0.918, Pillar B=0.604)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.578
TGO,TGO,2024,4.249,4.344,SR,Structural Risk,0.414,Moderate Potential,0.2,0.568,0.666,0.469,0.403,0.358,0.603,0.371,0.121,0.0,True,True,Diversified Emerging Market,HIGH,,False,3.995,0.254,structural,1.0,"Trajectory supported by governance data (RVS=0.666, Pillar B=0.403)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.254
MRT,MRT,2024,4.195,4.582,SL,Stable / Low Opportunity,0.356,Low Takeoff Signal,0.2,0.561,0.412,0.6,0.415,0.298,0.58,0.398,0.117,0.0,True,True,Diversified Emerging Market,HIGH,,False,3.932,0.263,structural,1.0,"Trajectory supported by governance data (RVS=0.412, Pillar B=0.415)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.263
ZAF,South Africa,2024,4.072,2.641,SR,Structural Risk,0.487,Reform Story,0.45,0.4,0.674,0.395,0.487,0.164,0.38,0.182,0.157,0.0,True,True,Diversified Emerging Market,HIGH,,False,3.24,0.832,structural,1.0,"Trajectory supported by governance data (RVS=0.674, Pillar B=0.487)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.832
GIN,GIN,2024,3.898,3.734,SL,Stable / Low Opportunity,0.379,Low Takeoff Signal,0.2,0.54,0.529,0.521,0.346,0.304,0.499,0.304,0.096,0.0,True,True,Diversified Emerging Market,HIGH,secondary_school_enrolment,False,3.505,0.393,structural,1.0,"Trajectory supported by governance data (RVS=0.529, Pillar B=0.346)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.393
NGA,Nigeria,2024,3.884,3.22,SL,Stable / Low Opportunity,0.359,Low Takeoff Signal,0.45,0.375,0.261,0.355,0.407,0.347,0.38,0.247,0.109,0.0,True,True,Diversified Emerging Market,MEDIUM,export_growth; gross_capital_formation,False,3.123,0.761,structural,1.0,"Trajectory supported by governance data (RVS=0.261, Pillar B=0.407)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.761
MWI,MWI,2024,3.818,3.27,SL,Stable / Low Opportunity,0.466,Reform Story,0.35,0.347,0.918,0.346,0.4,0.37,0.38,0.252,0.105,0.0,True,True,Diversified Emerging Market,HIGH,,False,3.54,0.278,structural,1.0,"Trajectory supported by governance data (RVS=0.918, Pillar B=0.400)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.278
ZMB,ZMB,2024,3.817,2.406,SR,Structural Risk,0.577,Pre-Breakout Signal,0.45,0.532,0.846,0.448,0.356,0.121,0.616,0.156,0.156,0.0,True,True,Diversified Emerging Market,HIGH,export_growth,False,3.42,0.397,structural,1.0,"Trajectory supported by governance data (RVS=0.846, Pillar B=0.356)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.397
BLR,BLR,2024,3.816,6.302,FO,Fragile Opportunity,0.159,Low Takeoff Signal,0.2,0.478,0.033,0.542,0.447,0.504,0.38,0.589,0.062,0.0,True,True,High-Growth Emerging Market,HIGH,,False,4.252,-0.436,structural,1.0,"Trajectory supported by governance data (RVS=0.033, Pillar B=0.447)  classified as structural",sanctions_compliance_risk,HIGH,(BLR) is subject to major international sanctions or significant AML/compliance concerns. Score reflects macro fundamentals only and does not account for investability constraints. Mandatory compliance review required.,True,0.564
PNG,PNG,2024,3.776,3.014,SR,Structural Risk,0.452,Moderate Potential,0.2,0.565,0.9,0.394,0.511,0.169,0.571,0.224,0.184,0.0,True,True,Diversified Emerging Market,MEDIUM,export_growth; gross_capital_formation,False,3.335,0.441,structural,1.0,"Trajectory supported by governance data (RVS=0.900, Pillar B=0.511)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.441
IRQ,IRQ,2024,3.661,2.303,SR,Structural Risk,0.446,Moderate Potential,0.2,0.593,0.817,0.478,0.433,0.059,0.574,0.145,0.178,0.0,True,True,Diversified Emerging Market,HIGH,secondary_school_enrolment,False,2.889,0.772,structural,1.0,"Trajectory supported by governance data (RVS=0.817, Pillar B=0.433)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.772
ZWE,ZWE,2024,3.646,2.583,SL,Stable / Low Opportunity,0.478,Reform Story,0.45,0.377,0.677,0.355,0.344,0.258,0.38,0.176,0.105,0.0,True,True,Diversified Emerging Market,HIGH,secondary_school_enrolment,False,3.171,0.475,structural,1.0,"Trajectory supported by governance data (RVS=0.677, Pillar B=0.344)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.475
NIC,NIC,2024,3.62,4.678,SL,Stable / Low Opportunity,0.149,Low Takeoff Signal,0.2,0.399,0.033,0.441,0.435,0.445,0.389,0.409,0.09,0.0,True,True,High-Growth Emerging Market,HIGH,,False,3.242,0.378,structural,1.0,"Trajectory supported by governance data (RVS=0.033, Pillar B=0.435)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.378
BDI,BDI,2024,3.611,2.783,SL,Stable / Low Opportunity,0.549,Moderate Potential,0.45,0.535,0.713,0.461,0.311,0.225,0.536,0.198,0.115,0.0,True,True,Diversified Emerging Market,MEDIUM,export_growth; gross_capital_formation,False,3.546,0.065,structural,1.0,"Trajectory supported by governance data (RVS=0.713, Pillar B=0.311)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.065
MDG,MDG,2024,3.546,3.232,SR,Structural Risk,0.381,Low Takeoff Signal,0.2,0.464,0.642,0.393,0.414,0.284,0.489,0.248,0.13,0.0,True,True,Diversified Emerging Market,HIGH,,False,3.21,0.336,structural,1.0,"Trajectory supported by governance data (RVS=0.642, Pillar B=0.414)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.336
CMR,CMR,2024,3.459,2.994,SL,Stable / Low Opportunity,0.346,Low Takeoff Signal,0.2,0.372,0.602,0.332,0.384,0.341,0.38,0.222,0.106,0.0,True,True,Diversified Emerging Market,HIGH,,False,2.941,0.518,structural,1.0,"Trajectory supported by governance data (RVS=0.602, Pillar B=0.384)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.518
ETH,Ethiopia,2024,3.344,3.583,SL,Stable / Low Opportunity,0.17,Low Takeoff Signal,0.2,0.466,0.044,0.455,0.433,0.298,0.418,0.287,0.117,0.0,True,True,Diversified Emerging Market,HIGH,,False,2.663,0.681,structural,1.0,"Trajectory supported by governance data (RVS=0.044, Pillar B=0.433)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.681
BOL,BOL,2024,3.295,2.439,SL,Stable / Low Opportunity,0.39,Low Takeoff Signal,0.35,0.349,0.501,0.325,0.348,0.242,0.38,0.16,0.111,0.0,True,True,Diversified Emerging Market,HIGH,,False,2.766,0.529,structural,1.0,"Trajectory supported by governance data (RVS=0.501, Pillar B=0.348)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.529
SLE,SLE,2024,3.258,3.569,SL,Stable / Low Opportunity,0.282,Low Takeoff Signal,0.45,0.427,0.1,0.567,0.451,0.238,0.38,0.285,0.117,0.0,True,True,Diversified Emerging Market,HIGH,,False,3.055,0.203,structural,1.0,"Trajectory supported by governance data (RVS=0.100, Pillar B=0.451)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.203
COD,COD,2024,3.225,2.253,SR,Structural Risk,0.393,Low Takeoff Signal,0.2,0.508,0.638,0.504,0.393,0.075,0.517,0.139,0.156,0.0,True,True,Diversified Emerging Market,HIGH,,False,2.665,0.56,structural,1.0,"Trajectory supported by governance data (RVS=0.638, Pillar B=0.393)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.56
SOM,SOM,2024,3.218,2.611,SR,Structural Risk,0.408,Moderate Potential,0.2,0.545,0.669,0.532,0.312,0.166,0.56,0.179,0.125,0.0,True,True,Diversified Emerging Market,HIGH,government_debt_pct_gdp,False,2.936,0.282,structural,1.0,"Trajectory supported by governance data (RVS=0.669, Pillar B=0.312)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.282
PAK,Pakistan,2024,3.205,3.086,SL,Stable / Low Opportunity,0.177,Low Takeoff Signal,0.45,0.29,0.033,0.302,0.363,0.411,0.38,0.232,0.098,0.0,True,True,Diversified Emerging Market,HIGH,,False,2.389,0.816,structural,1.0,"Trajectory supported by governance data (RVS=0.033, Pillar B=0.363)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.816
ECU,ECU,2024,3.155,3.45,SR,Structural Risk,0.146,Low Takeoff Signal,0.2,0.376,0.033,0.367,0.457,0.345,0.38,0.272,0.123,0.0,True,True,Diversified Emerging Market,HIGH,,False,2.495,0.66,structural,1.0,"Trajectory supported by governance data (RVS=0.033, Pillar B=0.457)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.66
NER,NER,2024,3.136,3.88,SL,Stable / Low Opportunity,0.151,Low Takeoff Signal,0.2,0.414,0.033,0.52,0.398,0.316,0.38,0.32,0.09,0.0,True,True,Diversified Emerging Market,HIGH,,False,2.771,0.365,structural,1.0,"Trajectory supported by governance data (RVS=0.033, Pillar B=0.398)  classified as structural",clean,N/A,No universe integrity issues detected.,False,0.365
